tick_ts,tick_time_str,date,month,year,day,week_of_month,open,high,low,close,volume,typical_price,price_range,return_pct,vwap,hl_ratio,body_pct,upper_shadow,lower_shadow,session,pre_market,post_market,is_open_tick,is_close_tick,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-03-25 10:06:35.174352,10:06,25,3,2026,2,5,23256.9,23256.9,23256.9,23256.9,0.0,23256.9,0.0,0.0,23256.9,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,75.4
2026-03-25 10:06:36.739415,10:06,25,3,2026,2,5,23260.85,23260.85,23260.85,23260.85,0.0,23260.85,0.0,0.0,23260.85,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,74.9
2026-03-25 10:06:36.869918,10:06,25,3,2026,2,5,23260.85,23260.85,23260.85,23260.85,0.0,23260.85,0.0,0.0,23260.85,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,130.0
2026-03-25 10:06:36.924121,10:06,25,3,2026,2,5,23256.45,23256.45,23256.45,23256.45,0.0,23256.45,0.0,0.0,23256.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,53.7
2026-03-25 10:06:37.072150,10:06,25,3,2026,2,5,23260.85,23260.85,23260.85,23260.85,0.0,23260.85,0.0,0.0,23260.85,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,147.6
2026-03-25 10:06:37.172995,10:06,25,3,2026,2,5,23260.85,23260.85,23260.85,23260.85,0.0,23260.85,0.0,0.0,23260.85,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,100.4
2026-03-25 10:06:38.918303,10:06,25,3,2026,2,5,23262.15,23262.15,23262.15,23262.15,0.0,23262.15,0.0,0.0,23262.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,165.7
2026-03-25 10:06:39.009494,10:06,25,3,2026,2,5,23262.15,23262.15,23262.15,23262.15,0.0,23262.15,0.0,0.0,23262.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,90.7
2026-03-25 10:06:39.155848,10:06,25,3,2026,2,5,23262.0,23262.0,23262.0,23262.0,0.0,23262.0,0.0,0.0,23262.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,145.6
2026-03-25 10:06:39.306817,10:06,25,3,2026,2,5,23262.0,23262.0,23262.0,23262.0,0.0,23262.0,0.0,0.0,23262.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,150.5
2026-03-25 10:06:39.494112,10:06,25,3,2026,2,5,23263.65,23263.65,23263.65,23263.65,0.0,23263.65,0.0,0.0,23263.65,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,186.7
2026-03-25 10:06:41.313854,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,104.8
2026-03-25 10:06:41.421625,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,107.3
2026-03-25 10:06:41.476043,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,53.9
2026-03-25 10:06:41.574109,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,97.6
2026-03-25 10:06:41.629678,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,55.1
2026-03-25 10:06:43.190332,10:06,25,3,2026,2,5,23257.6,23257.6,23257.6,23257.6,0.0,23257.6,0.0,0.0,23257.6,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,83.2
2026-03-25 10:06:43.289017,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,98.2
2026-03-25 10:06:43.454478,10:06,25,3,2026,2,5,23257.6,23257.6,23257.6,23257.6,0.0,23257.6,0.0,0.0,23257.6,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,165.0
2026-03-25 10:06:43.603774,10:06,25,3,2026,2,5,23257.3,23257.3,23257.3,23257.3,0.0,23257.3,0.0,0.0,23257.3,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,148.7
2026-03-25 10:06:43.689858,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,85.6
2026-03-25 10:06:45.183384,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,53.3
2026-03-25 10:06:45.263979,10:06,25,3,2026,2,5,23259.2,23259.2,23259.2,23259.2,0.0,23259.2,0.0,0.0,23259.2,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,80.1
2026-03-25 10:06:45.322874,10:06,25,3,2026,2,5,23262.0,23262.0,23262.0,23262.0,0.0,23262.0,0.0,0.0,23262.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,58.4
2026-03-25 10:06:45.377901,10:06,25,3,2026,2,5,23262.15,23262.15,23262.15,23262.15,0.0,23262.15,0.0,0.0,23262.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,54.5
2026-03-25 10:06:45.433010,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,54.6
2026-03-25 10:06:47.210790,10:06,25,3,2026,2,5,23262.0,23262.0,23262.0,23262.0,0.0,23262.0,0.0,0.0,23262.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,74.1
2026-03-25 10:06:47.304889,10:06,25,3,2026,2,5,23259.0,23259.0,23259.0,23259.0,0.0,23259.0,0.0,0.0,23259.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,93.6
2026-03-25 10:06:47.464227,10:06,25,3,2026,2,5,23259.0,23259.0,23259.0,23259.0,0.0,23259.0,0.0,0.0,23259.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,158.9
2026-03-25 10:06:47.547963,10:06,25,3,2026,2,5,23259.0,23259.0,23259.0,23259.0,0.0,23259.0,0.0,0.0,23259.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,83.2
2026-03-25 10:06:47.602892,10:06,25,3,2026,2,5,23262.15,23262.15,23262.15,23262.15,0.0,23262.15,0.0,0.0,23262.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,54.5
2026-03-25 10:06:49.293042,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,158.5
2026-03-25 10:06:49.440256,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,146.8
2026-03-25 10:06:49.501410,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,60.6
2026-03-25 10:06:49.585353,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,83.5
2026-03-25 10:06:49.772065,10:06,25,3,2026,2,5,23259.15,23259.15,23259.15,23259.15,0.0,23259.15,0.0,0.0,23259.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,186.3
2026-03-25 10:06:51.395234,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,60.6
2026-03-25 10:06:51.571121,10:06,25,3,2026,2,5,23260.5,23260.5,23260.5,23260.5,0.0,23260.5,0.0,0.0,23260.5,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,175.4
2026-03-25 10:06:51.632723,10:06,25,3,2026,2,5,23255.0,23255.0,23255.0,23255.0,0.0,23255.0,0.0,0.0,23255.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,61.0
2026-03-25 10:06:51.809769,10:06,25,3,2026,2,5,23260.0,23260.0,23260.0,23260.0,0.0,23260.0,0.0,0.0,23260.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,176.6
2026-03-25 10:06:51.974606,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,164.3
2026-03-25 10:06:53.823225,10:06,25,3,2026,2,5,23260.5,23260.5,23260.5,23260.5,0.0,23260.5,0.0,0.0,23260.5,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,77.3
2026-03-25 10:06:53.941017,10:06,25,3,2026,2,5,23261.15,23261.15,23261.15,23261.15,0.0,23261.15,0.0,0.0,23261.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,117.1
2026-03-25 10:06:54.097503,10:06,25,3,2026,2,5,23262.45,23262.45,23262.45,23262.45,0.0,23262.45,0.0,0.0,23262.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,156.0
2026-03-25 10:06:54.194398,10:06,25,3,2026,2,5,23261.15,23261.15,23261.15,23261.15,0.0,23261.15,0.0,0.0,23261.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,96.4
2026-03-25 10:06:54.310618,10:06,25,3,2026,2,5,23262.4,23262.4,23262.4,23262.4,0.0,23262.4,0.0,0.0,23262.4,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,115.7
2026-03-25 10:06:55.898439,10:06,25,3,2026,2,5,23256.75,23256.75,23256.75,23256.75,0.0,23256.75,0.0,0.0,23256.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,98.6
2026-03-25 10:06:56.081254,10:06,25,3,2026,2,5,23256.75,23256.75,23256.75,23256.75,0.0,23256.75,0.0,0.0,23256.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,182.3
2026-03-25 10:06:56.145665,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,63.7
2026-03-25 10:06:56.240678,10:06,25,3,2026,2,5,23258.15,23258.15,23258.15,23258.15,0.0,23258.15,0.0,0.0,23258.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,94.5
2026-03-25 10:06:56.365561,10:06,25,3,2026,2,5,23258.15,23258.15,23258.15,23258.15,0.0,23258.15,0.0,0.0,23258.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,124.4
2026-03-25 10:06:57.968978,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,130.1
2026-03-25 10:06:58.046167,10:06,25,3,2026,2,5,23258.2,23258.2,23258.2,23258.2,0.0,23258.2,0.0,0.0,23258.2,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,76.7
2026-03-25 10:06:58.169239,10:06,25,3,2026,2,5,23256.65,23256.65,23256.65,23256.65,0.0,23256.65,0.0,0.0,23256.65,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,122.5
2026-03-25 10:06:58.324525,10:06,25,3,2026,2,5,23256.05,23256.05,23256.05,23256.05,0.0,23256.05,0.0,0.0,23256.05,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,154.8
2026-03-25 10:06:58.378282,10:06,25,3,2026,2,5,23260.15,23260.15,23260.15,23260.15,0.0,23260.15,0.0,0.0,23260.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,53.2
2026-03-25 10:07:00.080958,10:07,25,3,2026,2,5,23255.15,23255.15,23255.15,23255.15,0.0,23255.15,0.0,0.0,23255.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,97.2
2026-03-25 10:07:00.142222,10:07,25,3,2026,2,5,23261.15,23261.15,23261.15,23261.15,0.0,23261.15,0.0,0.0,23261.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,60.8
2026-03-25 10:07:00.195950,10:07,25,3,2026,2,5,23258.15,23258.15,23258.15,23258.15,0.0,23258.15,0.0,0.0,23258.15,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,53.1
2026-03-25 10:07:00.252382,10:07,25,3,2026,2,5,23256.75,23256.75,23256.75,23256.75,0.0,23256.75,0.0,0.0,23256.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,55.9
2026-03-25 10:07:00.393607,10:07,25,3,2026,2,5,23256.0,23256.0,23256.0,23256.0,0.0,23256.0,0.0,0.0,23256.0,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,140.7
2026-03-25 10:07:02.315739,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,100.9
2026-03-25 10:07:02.412804,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,96.6
2026-03-25 10:07:02.486809,10:07,25,3,2026,2,5,23256.65,23256.65,23256.65,23256.65,0.0,23256.65,0.0,0.0,23256.65,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,73.5
2026-03-25 10:07:02.595644,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,108.2
2026-03-25 10:07:02.693370,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,97.2
2026-03-25 10:07:04.287522,10:07,25,3,2026,2,5,23253.55,23253.55,23253.55,23253.55,0.0,23253.55,0.0,0.0,23253.55,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,154.6
2026-03-25 10:07:04.486557,10:07,25,3,2026,2,5,23253.55,23253.55,23253.55,23253.55,0.0,23253.55,0.0,0.0,23253.55,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,198.5
2026-03-25 10:07:04.570818,10:07,25,3,2026,2,5,23253.55,23253.55,23253.55,23253.55,0.0,23253.55,0.0,0.0,23253.55,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,83.7
2026-03-25 10:07:04.678330,10:07,25,3,2026,2,5,23253.55,23253.55,23253.55,23253.55,0.0,23253.55,0.0,0.0,23253.55,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,107.0
2026-03-25 10:07:04.826195,10:07,25,3,2026,2,5,23253.5,23253.5,23253.5,23253.5,0.0,23253.5,0.0,0.0,23253.5,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,147.2
2026-03-25 10:07:06.620559,10:07,25,3,2026,2,5,23255.2,23255.2,23255.2,23255.2,0.0,23255.2,0.0,0.0,23255.2,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,86.3
2026-03-25 10:07:06.680905,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,59.9
2026-03-25 10:07:06.730825,10:07,25,3,2026,2,5,23254.45,23254.45,23254.45,23254.45,0.0,23254.45,0.0,0.0,23254.45,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,49.4
2026-03-25 10:07:06.845717,10:07,25,3,2026,2,5,23255.75,23255.75,23255.75,23255.75,0.0,23255.75,0.0,0.0,23255.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,114.4
2026-03-25 10:07:06.939551,10:07,25,3,2026,2,5,23255.2,23255.2,23255.2,23255.2,0.0,23255.2,0.0,0.0,23255.2,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,93.0
2026-03-25 10:07:08.722552,10:07,25,3,2026,2,5,23255.75,23255.75,23255.75,23255.75,0.0,23255.75,0.0,0.0,23255.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,95.9
2026-03-25 10:07:08.810352,10:07,25,3,2026,2,5,23255.75,23255.75,23255.75,23255.75,0.0,23255.75,0.0,0.0,23255.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,87.3
2026-03-25 10:07:08.930119,10:07,25,3,2026,2,5,23256.7,23256.7,23256.7,23256.7,0.0,23256.7,0.0,0.0,23256.7,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,119.1
2026-03-25 10:07:09.027477,10:07,25,3,2026,2,5,23255.75,23255.75,23255.75,23255.75,0.0,23255.75,0.0,0.0,23255.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,96.7
2026-03-25 10:07:09.174364,10:07,25,3,2026,2,5,23255.75,23255.75,23255.75,23255.75,0.0,23255.75,0.0,0.0,23255.75,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,146.4
2026-03-25 10:07:10.782610,10:07,25,3,2026,2,5,23253.55,23253.55,23253.55,23253.55,0.0,23253.55,0.0,0.0,23253.55,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,76.1
2026-03-25 10:07:10.913522,10:07,25,3,2026,2,5,23257.7,23257.7,23257.7,23257.7,0.0,23257.7,0.0,0.0,23257.7,1.0,0.0,0.0,0.0,regular,0,0,0,0,0,0,1,ZERO_VOL,130.4
