datetime_ist,open,high,low,close
2026-03-24 11:35:00+05:30,22758.599609375,22758.599609375,22758.599609375,22758.599609375
2026-03-24 11:36:00+05:30,22756.400390625,22756.400390625,22756.400390625,22756.400390625
2026-03-24 11:37:00+05:30,22764.349609375,22764.349609375,22764.349609375,22764.349609375
2026-03-24 11:38:00+05:30,22759.44921875,22759.44921875,22759.44921875,22759.44921875
2026-03-24 11:39:00+05:30,22758.849609375,22758.849609375,22758.849609375,22758.849609375
2026-03-24 11:40:00+05:30,22765.25,22765.25,22765.25,22765.25
2026-03-24 11:41:00+05:30,22748.75,22748.75,22748.75,22748.75
2026-03-24 11:42:00+05:30,22742.55078125,22742.55078125,22742.55078125,22742.55078125
2026-03-24 11:43:00+05:30,22750.75,22750.75,22750.75,22750.75
2026-03-24 11:44:00+05:30,22752.19921875,22752.19921875,22752.19921875,22752.19921875
2026-03-24 11:45:00+05:30,22749.0,22749.0,22749.0,22749.0
2026-03-24 11:46:00+05:30,22768.0,22768.0,22768.0,22768.0
2026-03-24 11:47:00+05:30,22772.650390625,22772.650390625,22772.650390625,22772.650390625
2026-03-24 11:48:00+05:30,22771.0,22771.0,22771.0,22771.0
2026-03-24 11:49:00+05:30,22768.150390625,22768.150390625,22768.150390625,22768.150390625
2026-03-24 11:50:00+05:30,22760.400390625,22760.400390625,22760.400390625,22760.400390625
2026-03-24 11:51:00+05:30,22768.94921875,22768.94921875,22768.94921875,22768.94921875
2026-03-24 11:52:00+05:30,22786.55078125,22786.55078125,22786.55078125,22786.55078125
2026-03-24 11:53:00+05:30,22791.25,22791.25,22791.25,22791.25
2026-03-24 11:54:00+05:30,22789.25,22789.25,22789.25,22789.25
2026-03-24 11:55:00+05:30,22794.599609375,22794.599609375,22794.599609375,22794.599609375
2026-03-24 11:56:00+05:30,22820.099609375,22820.099609375,22820.099609375,22820.099609375
2026-03-24 11:57:00+05:30,22819.5,22819.5,22819.5,22819.5
2026-03-24 11:58:00+05:30,22811.849609375,22811.849609375,22811.849609375,22811.849609375
2026-03-24 11:59:00+05:30,22808.25,22808.25,22808.25,22808.25
2026-03-24 12:00:00+05:30,22812.25,22812.25,22812.25,22812.25
2026-03-24 12:01:00+05:30,22803.75,22803.75,22803.75,22803.75
2026-03-24 12:02:00+05:30,22802.94921875,22804.0,22793.900390625,22802.05078125
2026-03-24 12:04:00+05:30,22797.94921875,22797.94921875,22797.94921875,22797.94921875
2026-03-24 12:05:00+05:30,22794.19921875,22794.19921875,22794.19921875,22794.19921875
2026-03-24 12:06:00+05:30,22769.30078125,22769.30078125,22769.30078125,22769.30078125
2026-03-24 12:07:00+05:30,22768.099609375,22768.099609375,22768.099609375,22768.099609375
2026-03-24 12:08:00+05:30,22769.94921875,22769.94921875,22769.94921875,22769.94921875
2026-03-24 12:09:00+05:30,22773.849609375,22773.849609375,22773.849609375,22773.849609375
2026-03-24 12:10:00+05:30,22765.44921875,22765.44921875,22765.44921875,22765.44921875
2026-03-24 12:11:00+05:30,22779.400390625,22779.400390625,22779.400390625,22779.400390625
2026-03-24 12:12:00+05:30,22776.599609375,22776.599609375,22776.599609375,22776.599609375
2026-03-24 12:13:00+05:30,22767.150390625,22767.150390625,22767.150390625,22767.150390625
2026-03-24 12:14:00+05:30,22760.5,22760.5,22760.5,22760.5
2026-03-24 12:15:00+05:30,22770.400390625,22770.400390625,22770.400390625,22770.400390625
2026-03-24 12:16:00+05:30,22765.05078125,22765.05078125,22765.05078125,22765.05078125
2026-03-24 12:17:00+05:30,22763.05078125,22763.05078125,22763.05078125,22763.05078125
2026-03-24 12:18:00+05:30,22754.44921875,22754.44921875,22754.44921875,22754.44921875
2026-03-24 12:19:00+05:30,22759.400390625,22759.400390625,22759.400390625,22759.400390625
2026-03-24 12:20:00+05:30,22762.5,22762.5,22762.5,22762.5
2026-03-24 12:21:00+05:30,22758.349609375,22758.349609375,22758.349609375,22758.349609375
2026-03-24 12:22:00+05:30,22805.75,22805.75,22805.75,22805.75
2026-03-24 12:23:00+05:30,22815.900390625,22815.900390625,22815.900390625,22815.900390625
2026-03-24 12:24:00+05:30,22846.0,22846.0,22846.0,22846.0
2026-03-24 12:25:00+05:30,22891.69921875,22891.69921875,22891.69921875,22891.69921875
2026-03-24 12:26:00+05:30,22917.75,22917.75,22917.75,22917.75
2026-03-24 12:27:00+05:30,22894.5,22894.5,22894.5,22894.5
2026-03-24 12:28:00+05:30,22870.150390625,22870.150390625,22870.150390625,22870.150390625
2026-03-24 12:29:00+05:30,22847.75,22847.75,22847.75,22847.75
2026-03-24 12:30:00+05:30,22853.5,22853.5,22853.5,22853.5
2026-03-24 12:31:00+05:30,22856.44921875,22856.44921875,22856.44921875,22856.44921875
2026-03-24 12:32:00+05:30,22895.94921875,22895.94921875,22895.94921875,22895.94921875
2026-03-24 12:33:00+05:30,22909.349609375,22909.349609375,22909.349609375,22909.349609375
2026-03-24 12:34:00+05:30,22918.5,22918.5,22918.5,22918.5
2026-03-24 12:35:00+05:30,22939.69921875,22939.69921875,22939.69921875,22939.69921875
2026-03-24 12:36:00+05:30,22934.900390625,22934.900390625,22934.900390625,22934.900390625
2026-03-24 12:37:00+05:30,22932.75,22932.75,22932.75,22932.75
2026-03-24 12:38:00+05:30,22939.5,22939.5,22939.5,22939.5
2026-03-24 12:39:00+05:30,22939.94921875,22952.69921875,22934.349609375,22951.0
2026-03-24 12:41:00+05:30,22940.30078125,22940.30078125,22940.30078125,22940.30078125
2026-03-24 12:42:00+05:30,22951.44921875,22951.44921875,22951.44921875,22951.44921875
2026-03-24 12:43:00+05:30,22981.150390625,22981.150390625,22981.150390625,22981.150390625
2026-03-24 12:44:00+05:30,22970.5,22970.5,22970.5,22970.5
2026-03-24 12:45:00+05:30,22960.900390625,22960.900390625,22960.900390625,22960.900390625
2026-03-24 12:46:00+05:30,22970.0,22970.0,22970.0,22970.0
2026-03-24 12:47:00+05:30,22974.400390625,22974.400390625,22974.400390625,22974.400390625
